nombre,avance,monto,direccion,comuna,barrio,fecha_inicio,fecha_fin,tipo,descripcion
Villa Olí­mpica: Viviendas VII,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-25,2017-10-31,Vivienda,La licitación Nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas VIII,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-15,2017-11-15,Vivienda,La licitación Nº 8 contempló la construcción de 4 edificios que fueron destinados a los Juegos Olí­mpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas X,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-04-28,2017-12-31,Vivienda,"La licitación Nº 10 completó el grupo de licitaciones de viviendas para los Juegos Olí­mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Además, se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales."
Villa Olí­mpica: Viviendas I,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2015-01-06,2017-12-20,Vivienda,La licitación Nº 1 contempló la construcción de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica,100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2018-07-08,2019-04-05,Vivienda,"La Obra Consiste En La Provisión Y Colocación De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Olí­mpica"
"Parque Olí­mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral",100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2016-12-28,2017-03-30,Espacio Público,"Se procedió a la contrucción de un cerco olí­mpico perimetral que ayudó a delimitar el área de intervención, resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Además, incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes, la extracción y trasplante de los árboles y arbustos dentro del mismo predio."
"Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-01-30,2018-04-16,Hidráulica e Infraestructura,"Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagí¼es cloacales, desagí¼es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olí­mpico."
Parque Olí­mpico: Pabellones A1 Y A2.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-02-15,2017-12-31,Arquitectura,Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.
Parque Olí­mpico: Pabellones A3 Y A4.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-02-15,2018-12-01,Arquitectura,Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olí­mpicos.
"Parque Olí­mpico: Espacio público, equipamiento deportivo exterior",100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-07-06,2018-10-30,Espacio Público,"Se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. Las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Además, se puso en valor el pórtico de acceso al parque olí­mpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios."
Parque Olí­mpico: Pabellón C.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-04-25,2018-06-30,Arquitectura,"Se realizaron obras en el Pabellón C que consistieron en la ejecución del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores."
Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica,100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2018-11-19,2019-01-19,Arquitectura,La Obra Consiste En La Ejecución De Seis Núcleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olí­mpica 
Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica,100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2019-05-02,2019-06-04,Arquitectura,La Obra Consiste En La Readecuación De Locales De Planta Baja En Edifio UG7 De Villa Olí­mpica 
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica,100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2019-02-01,2019-11-02,Vivienda,La Obra Consiste En La Provisión y Colocación de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olí­mpica
Parque Olí­mpico: Pabellón B.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-05-08,2018-06-30,Arquitectura,"La obra consistió en la construcción del Pabellón C que albergó a la competencia de gimnasia artí­stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logí­stica, enfermerí­a y doping."
Parque Olí­mpico: Infraestructura eléctrica.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2017-02-13,2018-05-30,Hidráulica e Infraestructura,"La licitación contempló el reacondicionamiento y modernización de las instalaciones existentes en el Parque Olí­mpico y la ejecución de la nueva red para la distribución de energí­a de los pabellones y edificios administrativos. La obra incluyó una sub estación de entrada de energí­a, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios."
"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2018-06-08,2018-04-11,Espacio Público,La Obra Consiste En La Nivelación De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Olí­mpica
Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,100.0,0.0,Escalada Av. 4200,8,Villa Lugano,2018-11-30,2019-05-29,Arquitectura,"La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Olí­mpica."
Paseo Del Bajo: Tramo A - Viaductos,100.0,0.0,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",1,Puerto Madero,2017-02-01,2019-08-30,Transporte,"La realización de esta obra significó una organización vial que mejoró sustancialmente la circulación de mas de 25.000 vehí­culos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminación visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene más de 6 kilómetros de extensión que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Mejí­a, Antártida Argentina y Castillo. Al costado de la trinchera para vehí­culos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para tránsito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad máxima de 60 y dos de 40 kilómetros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El í¢ÂÂPaseo del Bajo"" contempló además la creación de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos í¢ÂÂíÂ´Parque Lezamaí¢ÂÂ y que están ubicados a los costados de los carriles para vehí­culos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Además, se crearon nuevas cicloví­as para facilitar el acceso y fomentar la recreación y la movilidad sustentable en la zona."
Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,100.0,0.0,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",1,Puerto Madero,2017-02-01,2019-04-30,Transporte,"El tramo B del proyecto contempló el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercaní­as al parque central. Se desarrolló en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes."
Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,100.0,0.0,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",1,Puerto Madero,2017-01-02,2019-04-25,Transporte,"El tramo C se desarrolló desde el final del tramo B en cercaní­as del parque central hasta el comienzo del viaducto norte en el área de retiro. El primer tramo, al igual que el tramo B, se llevó a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Cañada en Retiro, se llevó a cabo a nivel."
Ramal Austria I,100.0,0.0,"DEL LIBERTADOR AV. Y FIGUEROA ALCORTA, PRES. AV.",2,Recoleta,2015-05-26,2018-01-30,Hidráulica e Infraestructura,"La obra consistió en un conducto de cuatro metros de diámetro realizado mediante la metodologí­a de túnel de excavación manual con revestimiento metálico tipo linner, que en su primera etapa de ejecución se complementó con ocho cámaras de ataque de 4 metros de diámetro ejecutadas con la misma tecnologí­a."
Ramal Caaguazú -Ampliación Red Pluvial VII,100.0,0.0,"OLIDEN Y FALCON, RAMON L.,CNEL.",9,Liniers,2016-07-28,2018-04-30,Hidráulica e Infraestructura,"Los trabajos de la obra hidráulica del ramal Caaguazú consistieron en la ampliación de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Constó de dos conductos: El primero se inició en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzó en la esquina de Caaguazú desde Oliden, pasando por calle Ramon L. Falcón."
Ramal Escalada -Ampliación Red Pluvial VI,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y SUAREZ, JOSE LEON",8,Villa Riachuelo,2016-08-22,2017-10-12,Hidráulica e Infraestructura,"Se realizó una obra de mejoramiento y readecuación de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8."
Red Pluvial IV: Ampliación,100.0,0.0,"QUESADA Y PEREZ, ROQUE",12,Coghlan,2014-06-16,2016-10-31,Hidráulica e Infraestructura,"La obra consistió en la ejecución de conductos circulares con respectivas cámaras, sumideros, nexos y demás componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captación pluvial, complementarios al plan director de ordenamiento hidráulico."
Centro de Exposiciones y Convenciones,100.0,0.0,"COUTURE, EDUARDO J. Y VAZ FERREIRA, CARLOS, DR.",2,Recoleta,2014-12-20,2017-04-30,Arquitectura,"El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyectó a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque público. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estratégico de la ciudad de Buenos Aires dada su localización y su potencialidad simbólica y espacial. El edificio tiene capacidad para 5.000 asistentes y está conformado por una sala plenaria y otras salas auxiliares divisibles. También cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehí­culos y un foyer de 1.600 míÂ². A su vez, tiene acceso a la estación Facultad de Derecho de la lí­nea H."
Edificio Lezama: Obra Civil,100.0,0.0,"GARCIA, MARTIN AV. 346",4,La Boca,2015-03-13,2016-12-30,Arquitectura,"La obra del Palacio Lezama se integró dentro del plan de descentralización administrativa del gobierno porteño al sur de la Ciudad. El edificio es patrimonio histórico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Martí­n Garcí­a, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehí­culos por calle Pilcomayo. Fue remodelado y restaurado í­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnológicos, funcionales y de seguridad de las dependencias que trabajaban allí­. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernización, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Público y Sindicatura General."
Arroyo Vega - Mejora de la Eficiencia Hidraulica,100.0,0.0,Av. Rafael Obligado 6125,13,Belgrano,2014-12-22,2016-09-30,Hidráulica e Infraestructura,"Se llevó adelante la obra que implicó entabicar las columnas y las vigas para la mejora de la eficiencia hidráulica del conducto, asegurando el desplazamiento del fluido de la manera más eficaz posible. La obra se ejecutó entre las calles 11 de Septiembre y Balbí­n, bajo la calle Blanco Encalada."
Conector Ambiental Iriarte,100.0,0.0,"VELEZ SARSFIELD AV. Y ALCORTA, AMANCIO AV.",4,Parque Patricios,2015-03-02,2017-07-28,Espacio Público,Tipologí­a de calle con importante presencia de vegetación. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.
Parque Olí­mpico: Cubierta Arena Parque Roca.,100.0,0.0,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,8,Villa Soldati,2013-12-26,2018-09-15,Arquitectura,"Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categorí­a a áreas históricamente relegadas, se construyó el techo corredizo para el Estadio Parque Roca. Dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situación del clima. La capacidad aumentó de 14.500 a 15.500 espectadores, además, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el Estadio Parque Roca fue una de las sedes donde se desarrollaron los Juegos Olí­mpicos de la Juventud 2018."
Metrobus Del Bajo: Paradores - Etapa I,100.0,0.0,"YRIGOYEN, HIPOLITO AV. Y PASEO COLON AV.",1,Montserrat,2017-02-15,2017-07-15,Transporte,"El Metrobus del Bajo comprende un corredor vial de 4,8 kilómetros sobre las Av. Leandro N. Alem y Av. Paseo Colón que une los Barrios de Retiro y La Boca. El proyecto se inserta dentro del Plan de Movilidad Sustentable en el cual contempló el rediseño del espacio para darle prioridad al transporte público, la promoción de la movilidad sustentable, el ordenamiento, la seguridad vial y la introducción de tecnologí­as que permiten brindar información en tiempo real. Su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lí­neas de colectivos que prestan servicio a más de 300.000 personas por dí­a."
Camino De Sirga II,100.0,0.0,"ZAVALETA E IRIARTE, GRAL. AV.",4,Barracas,2013-08-01,2017-05-31,Hidráulica e Infraestructura,"La segunda etapa del Camino de Sirga se centró en liberar y volver transitable y accesible el margen del Riachuelo entre las calles Vieytes y Av. Sáenz. Se recuperó para el uso público en ví­as de cumplimentar con lo enunciado en el Plan Urbano Ambiental, donde se indican los rasgos fundamentales que deben desarrollar la Ciudad de Buenos Aires y los principales lineamientos para garantizar el alcance de dichos rasgos. Se propuso un parque lineal con un camino vehicular enfocado al tránsito recreativo de las personas, involucrando la construcción de un paseo ribereño, bicisendas, espacios verdes, alumbrado y equipamiento general."
Metrobus Norte: Metrobus Cabildo II,100.0,0.0,"CABILDO AV. Y PINO, VIRREY DEL",13,Belgrano,2016-08-01,2017-05-31,Transporte,"La traza de la segunda etapa del Metrobus Norte comienza en Franklin Roosevelt, como continuación del primer tramo y finaliza en Santos Dumont. Hay paradores en gran parte de la extensión del corredor, a excepción de las cuadras entre Juramento y Echeverrí­a, La Pampa y José Hernández, y Teodoro Garcí­a y Federico Lacroze. En total, se trató de 5 estaciones, con 22 paradores. Es el séptimo corredor de la red de metrobus CABA, que tiene una extensión de 2.7 km y revitalizó los barrios de Belgrano, Colegiales y Palermo."
Metrobus Norte: Centro de Transbordo Pací­fico,100.0,0.0,"SANTA FE AV. Y JUSTO, JUAN B. AV.",14,Palermo,2016-08-24,2016-11-24,Transporte,"Se ejecutaron paradores linderos a los carriles exclusivos para buses, que funcionan como punto de transbordo de pasajeros. Está ubicado sobre la Av. Santa Fe entre las calles Carranza y Thames, con una extensión de 1,1 km, 22 lí­neas de colectivos con 375 servicios promedio por hora y cuenta con 11 paradores, mejorando la experiencia de viaje de más de 120 mil personas todos los dí­as."
Paso bajo nivel Balbí­n,100.0,0.0,"BALBIN, RICARDO, DR. AV. Y PLAZA",12,Saavedra,2016-12-06,2018-02-08,Transporte,"El Paso Bajo Nivel de Av. Balbí­n se extiende entre Estomba y Av. Goyeneche, pasando por debajo las ví­as del Ferrocarril Mitre ramal Mitre, a 300 metros de la estación L. M. Saavedra del tren. Su túnel es doble mano, cuenta con cuatro carriles de circulación, dos por sentido, con una altura libre de paso de 5,10 metros que lo hace apto para tránsito liviano y transporte de pasajeros."
Centro de Exposiciones y Convenciones: Ampliación red de agua y cloacas,100.0,0.0,"FIGUEROA ALCORTA, PRES. AV. 2051",2,Recoleta,2016-10-14,2017-01-14,Arquitectura,"Dentro de las obras complementarias al Centro de Exposiciones y Convenciones, fue necesario adaptar y relocalizar las acometidas del suministro de servicios de agua potable y de desagí¼es cloacales en el predio donde se ubica."
Paso bajo nivel Nazca,100.0,0.0,NAZCA AV. Y MELINCUE,11,Villa Del Parque,2016-12-12,2018-11-15,Transporte,"El Paso Bajo Nivel de Av. Nazca se extiende entre Pedro Lozano y Marcos Sastre, pasando por debajo las ví­as del ferrocarril San Martí­n, a 300 metros de la Estación Villa del Parque del tren. Su túnel fue hecho doble mano, contó con cuatro carriles de circulación, dos por sentido, con una altura libre de paso de 5,10 metros, que lo hace apto para tránsito liviano, pesado y transporte público de pasajeros."
Conservatorio Manuel De Falla,100.0,0.0,GALLO 238,5,Almagro,2016-03-10,2018-01-20,Escuelas,"La obra del Conservatorio Manuel de Falla constó de la readecuacion de las instalaciones, la puesta en valor y la reparación de la cubierta. fue iniciada originalmente por el ministerio de Cultura y transferida posteriormente al Ministerio de Desarrollo Urbano y Transporte."
Metrobus Del Bajo: Aceras - Etapa I,100.0,0.0,"YRIGOYEN, HIPOLITO AV. Y PASEO COLON AV.",1,Montserrat,2016-03-11,2017-06-06,Transporte,"Se realizó la ejecución y reconstrucción de las aceras, vados y superficies destinadas a ví­a pública de uso peatonal que integran la traza del Corredor Metrobus del Bajo (Etapa 1), a fin de mejorar la transitabilidad y accesibilidad en la Ciudad Autónoma de Buenos Aires."
Metrobus Del Bajo: Tareas Preliminares y Cerco de Obra - Etapa I,100.0,0.0,"YRIGOYEN, HIPOLITO AV. Y PASEO COLON AV.",1,Montserrat,2017-01-02,2017-07-31,Transporte,"La obra garantizó la separación fí­sica de la obra de pavimentación y los paradores del corredor Metrobus del Bajo, de los carriles transitables y minimizar así­ el riesgo de siniestros en la ví­a pública. El objetivo de la misma fue servir como complemento de advertencia para los conductores y peatones salvaguardando su integridad."
Paso bajo nivel Av. San Martí­n,100.0,0.0,SAN MARTIN AV. Y PAREJA,11,Villa Devoto,2014-01-17,2016-10-21,Transporte,"El Paso Bajo Nivel San Martí­n posee una longitud de 370 metros que se extiende entre las calles Pareja y Asunción. Cuenta con cuatro carriles, dos en cada sentido y su túnel presenta una altura de 5,10 metros, permitiendo la circulación de vehí­culos pesados, livianos y los colectivos del Metrobus San Martí­n."
Paso bajo nivel Constituyentes,100.0,0.0,DE LOS CONSTITUYENTES AV. 4950,12,Villa Pueyrredon,2014-01-22,2016-04-29,Transporte,"El Paso Bajo nivel Constituyentes se extiende entre la Av. Mosconi y Olazábal hasta la calle Jose L. Cabezón y Cullen. El paso vehicular bajo las ví­as del tren contiene cuatro carriles, dos en cada sentido, con una altura libre de tránsito de 5,10 metros, permitiendo la circulación de vehí­culos pesados y livianos."
Paso bajo nivel Beiró,100.0,0.0,"BEIRO, FRANCISCO AV. Y GUTENBERG",15,Agronomí­a,2014-09-14,2017-06-19,Transporte,"El Paso Bajo Nivel Beiró tuvo como caracterí­stica particular la presencia de caños de gran envergadura bajo tierra, lo cual hizo necesario un nuevo trazado de la avenida en este tramo generando un corrimiento hacia el lado del Club Comunicaciones y la Facultad de Agronomí­a. A raí­z de ese desplazamiento se definió un espacio de unos 25 m de ancho y de 500 m de largo que se proyectó como área verde para usos recreativos, funcionando como conector ambiental adyacente a la avenida."
Teatro Colón: Reparación de arco de embocadura,100.0,0.0,CERRITO 628,1,San Nicolás,2015-01-15,2016-01-01,Arquitectura,Se realizó la reparación y puesta en valor del arco de embocadura del Teatro Colón.
Casa Trans,100.0,0.0,JUJUY AV. 1341,3,San Cristóbal,2017-08-02,2017-06-26,Arquitectura,"La obra consistió en la puesta en valor y reciclaje de la planta baja del inmueble contemplando la construcción de nuevos baños, un vestuario, una sala de espera, dos consultorios para atención psicológica, sala de extraccion de sangre para diagnóstico preventivo y las oficinas administrativas de la asociación de travestis, transexuales y transgéneros de la argentina."
Edificio Hipólito Yrigoyen y Edificio Finochietto: adecuación,100.0,0.0,"YRIGOYEN, HIPOLITO 2346",3,Balvanera,2015-10-29,2016-08-31,Arquitectura,"Se realizó la readecuación y relocalización de los inmuebles Finochietto e Yrigoyen que albergan al Instituto de la Vivienda de la Ciudad y la Dirección General de Registros de Obras y Catastros en el Barrio de Barracas, a la Dirección General de Administracion de Infracciones en el Barrio de Balvanera, respectivamente."
Estación de Bombeo Nº5,100.0,0.0,REGIMIENTO DE PATRICIOS AV. Y BRANDSEN,4,Barracas,2013-01-08,2017-06-15,Hidráulica e Infraestructura,"El Sistema Pluvial Boca-Barracas es un sistema de control y drenaje para evitar las recurrentes inundaciones en los barrios más bajos de la Ciudad (Boca y Barracas), fundamentalmente a raí­z del fenómeno de las sudestadas, que durante un siglo generaron inundaciones, degradando la calidad de vida de sus habitantes y retrasando el desarrollo de esos barrios con respecto al resto de la Ciudad. La Estación de Bombeo 5 en la etapa final de ejecución del sistema contó con 8 bombas axiales de 4,5 m3/seg, 8 compuertas de control de desagí¼e, limpiarrejas, dos estaciones transformadoras de alta tensión, y un sistema de colectores pluviales."
Teatro Colón: Instituto Superior de Arte - Adecuación del edificio Corrientes 1681,100.0,0.0,Corrientes Av. 1681,1,San Nicolás,2016-12-29,2017-05-30,Arquitectura,Se realizó la puesta en valor del Instituto Superior de Arte del Teatro Colón.
Área Ambiental Central: Calle Peru I,100.0,0.0,"BELGRANO AV. Y ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.",1,Montserrat,2016-03-21,2016-07-18,Espacio Público,"El proyecto incluyó el tramo entre Av. Belgrano y Av. Roca, y consistió en la unificación de los niveles de acera, calzada y la preservación del cordón de granito existente. Se agregaron rampas vehiculares y peatonales para salvar desniveles; se reemplazaron las cunetas por rejillas abatibles para el desagí¼e pluvial, se incorporó equipamiento urbano y se rediseño el alumbrado público."
Área Ambiental Central: Calle Peru II,100.0,0.0,PERU Y MEXICO,1,Montserrat,2016-08-16,2016-12-29,Espacio Público,"La obra se extendió sobre la calle Perú desde Av. Belgrano hasta Av. Independencia. Se implementó la nivelación de cruces peatonales en ambos sentidos mejorando la accesibilidad y el tránsito peatonal. Además, se contempló la renovación de luminarias y equipamiento urbano."
